"Journal Data Filtered By:  Selected JCR Year: 2019 Selected Editions: SCIE,SSCI Selected Category Scheme: WoS",,,,
Rank,Full Journal Title,Total Cites,Journal Impact Factor,Eigenfactor Score
9790,EURASIAN SOIL SCIENCE,"1,965",1.016,0.001170
9790,International Journal of Gerontology,443,1.016,0.000660
9790,JOURNAL OF PEDIATRIC HEMATOLOGY ONCOLOGY,"3,720",1.016,0.004930
9790,Journal of Gerontological Nursing,"1,292",1.016,0.001080
9790,Journal of Gerontological Nursing,"1,292",1.016,0.001080
9790,Mljekarstvo,318,1.016,0.000300
9790,SEXUALITY AND DISABILITY,754,1.016,0.000520
9798,Crop Breeding and Applied Biotechnology,744,1.015,0.000710
9798,GRANA,"1,145",1.015,0.000430
9798,JOURNAL OF APPLIED POULTRY RESEARCH,"2,775",1.015,0.001310
9798,Mechanical Sciences,305,1.015,0.000520
9798,POLITICAL QUARTERLY,952,1.015,0.002110
9803,Archives of Budo,353,1.014,0.000260
9803,Cancer Radiotherapie,885,1.014,0.001210
9803,EDUCATION AND URBAN SOCIETY,787,1.014,0.000900
9803,Language Resources and Evaluation,587,1.014,0.000680
9807,Arab Journal of Gastroenterology,261,1.013,0.000450
9807,Journal of Signal Processing Systems for Signal Image and Video Technology,865,1.013,0.001320
9807,PROGRESS IN CHEMISTRY,"1,305",1.013,0.001290
9807,World Journal of Clinical Cases,"1,082",1.013,0.002980
9811,Leiden Journal of International Law,686,1.012,0.000770
9812,Petrophysics,657,1.011,0.000730
9813,BUSINESS HISTORY,944,1.010,0.001160
9813,PSYCHOLOGICAL RECORD,"1,379",1.010,0.000820
9815,Journal of Nursing Research,711,1.009,0.000770
9815,Journal of Nursing Research,711,1.009,0.000770
9815,MATHEMATICAL PROBLEMS IN ENGINEERING,"11,080",1.009,0.017860
9815,PROCEEDINGS OF THE ROYAL SOCIETY OF EDINBURGH SECTION A-MATHEMATICS,"2,229",1.009,0.003380
9819,ARQUIVOS DE NEURO-PSIQUIATRIA,"3,033",1.008,0.002880
9819,Emirates Journal of Food and Agriculture,"1,066",1.008,0.001220
9821,MECHANICS OF COMPOSITE MATERIALS,"1,596",1.007,0.000750
9821,Phytotaxa,"4,977",1.007,0.011760
9823,INTERNAL MEDICINE,"6,537",1.005,0.007460
9823,POSITIVITY,685,1.005,0.001930
9825,INTERNATIONAL JOURNAL OF ELECTRONICS,"1,560",1.004,0.000970
9825,PHASE TRANSITIONS,"1,754",1.004,0.001350
9827,ARKIVOC,"3,093",1.003,0.001410
9828,ACTA CHIROPTEROLOGICA,824,1.000,0.000850
9828,ACTA ETHOLOGICA,433,1.000,0.000710
9828,ACTA SOCIETATIS BOTANICORUM POLONIAE,845,1.000,0.000760
9828,AI COMMUNICATIONS,429,1.000,0.000460
9828,Advances in Chromatography,121,1.000,0.000050
9828,Autex Research Journal,543,1.000,0.000470
9828,BELGIAN JOURNAL OF ZOOLOGY,390,1.000,0.000210
9828,BIOMEDICAL PAPERS-OLOMOUC,"1,112",1.000,0.001400
9828,CARDIOLOGY IN THE YOUNG,"2,641",1.000,0.004680
9828,Colombia Medica,413,1.000,0.000500
9828,Disaster Prevention and Management,"1,142",1.000,0.000830
9828,European Journal of Transport and Infrastructure Research,607,1.000,0.000770
9828,FLUORIDE,972,1.000,0.000270
9828,HISTORY OF SCIENCE,510,1.000,0.000710
9828,HISTORY OF SCIENCE,510,1.000,0.000710
9828,IET Systems Biology,480,1.000,0.000400
9828,IOWA LAW REVIEW,939,1.000,0.001730
9828,ISSUES IN SCIENCE AND TECHNOLOGY,468,1.000,0.000750
9828,ISSUES IN SCIENCE AND TECHNOLOGY,468,1.000,0.000750
9828,International Insolvency Review,109,1.000,0.000090
9828,International Journal for Multiscale Computational Engineering,512,1.000,0.000560
9828,Inzinerine Ekonomika-Engineering Economics,598,1.000,0.000320
9828,JOURNAL OF AFRICAN ECONOMIES,"1,079",1.000,0.001490
9828,JOURNAL OF RESEARCH IN MUSIC EDUCATION,"1,004",1.000,0.000380
9828,Journal of Earthquake and Tsunami,271,1.000,0.000360
9828,Journal of Economic Policy Reform,322,1.000,0.000500
9828,Journal of International Criminal Justice,758,1.000,0.000700
9828,Journal of Neuroscience Psychology and Economics,296,1.000,0.000640
9828,Longitudinal and Life Course Studies,294,1.000,0.000710
9828,MATHEMATICAL METHODS OF OPERATIONS RESEARCH,"1,048",1.000,0.001550
9828,Metroeconomica,497,1.000,0.000520
9828,NAUTILUS,475,1.000,0.000280
9828,NEUES JAHRBUCH FUR MINERALOGIE-ABHANDLUNGEN,"1,034",1.000,0.000290
9828,Nordic Studies on Alcohol and Drugs,320,1.000,0.000630
9828,PHONETICA,672,1.000,0.000210
9828,PHONETICA,672,1.000,0.000210
9828,PROCEEDINGS OF THE ACADEMY OF NATURAL SCIENCES OF PHILADELPHIA,"1,293",1.000,0.000180
9828,PROCEEDINGS OF THE INSTITUTION OF CIVIL ENGINEERS-GEOTECHNICAL ENGINEERING,899,1.000,0.000870
9828,Peacebuilding,207,1.000,0.000510
9828,Physics and Chemistry of Glasses-European Journal of Glass Science and Technology Part B,"1,293",1.000,0.000380
9828,Polimeros-Ciencia e Tecnologia,"1,277",1.000,0.000740
9828,Proceedings of the Institution of Mechanical Engineers Part P-Journal of Sports Engineering and Technology,307,1.000,0.000440
9828,Quarterly Journal of Political Science,617,1.000,0.002460
9828,SEMINARS IN SPEECH AND LANGUAGE,719,1.000,0.000820
9828,SYSTEMIC PRACTICE AND ACTION RESEARCH,508,1.000,0.000260
9828,Social Epistemology,597,1.000,0.001030
9828,Syntax-A Journal of Theoretical Experimental and Interdisciplinary Research,374,1.000,0.000540
9828,Systems Engineering,605,1.000,0.000320
9828,TOHOKU MATHEMATICAL JOURNAL,"1,219",1.000,0.001520
9828,TUEXENIA,252,1.000,0.000280
9828,UNIVERSITY OF TORONTO LAW JOURNAL,445,1.000,0.000330
9828,VIAL-Vigo International Journal of Applied Linguistics,63,1.000,0.000050
9880,Journal of the Indian Society of Remote Sensing,"1,302",0.997,0.001330
9881,Archives of Iranian Medicine,"2,139",0.996,0.002780
9881,JOURNAL OF GENETICS,"1,818",0.996,0.002130
9883,JOURNAL OF COMPARATIVE PATHOLOGY,"2,892",0.994,0.001960
9883,Journal of the Royal Army Medical Corps,785,0.994,0.001230
9885,INNOVATIONS IN EDUCATION AND TEACHING INTERNATIONAL,"1,012",0.993,0.001100
9885,JOURNAL OF RUSSIAN LASER RESEARCH,482,0.993,0.000580
9885,Journal of Cognitive Psychology,"1,062",0.993,0.002540
9888,JOURNAL OF LIQUID CHROMATOGRAPHY & RELATED TECHNOLOGIES,"2,625",0.992,0.001420
9889,ACTA VETERINARIA HUNGARICA,798,0.991,0.000790
9889,Archives Animal Breeding,222,0.991,0.000500
9889,CLINICAL NEPHROLOGY,"2,902",0.991,0.002750
9889,JOURNAL OF INSECT BEHAVIOR,"1,679",0.991,0.001230
9889,Journal of Public Economic Theory,605,0.991,0.001140
9894,Annals of Transplantation,962,0.990,0.001880
9895,ANNALS OF GLOBAL ANALYSIS AND GEOMETRY,780,0.989,0.002550
9895,Journal of Transportation Engineering Part A-Systems,224,0.989,0.000620
9895,ULTRASTRUCTURAL PATHOLOGY,837,0.989,0.000700
9898,Asian Nursing Research,674,0.988,0.001010
9898,Asian Nursing Research,674,0.988,0.001010
9898,FLUCTUATION AND NOISE LETTERS,466,0.988,0.000470
9898,LINEAR ALGEBRA AND ITS APPLICATIONS,"10,811",0.988,0.017620
9898,Orthopaedic Nursing,593,0.988,0.000500
9898,Orthopaedic Nursing,593,0.988,0.000500
9898,Rendiconti Lincei-Matematica e Applicazioni,330,0.988,0.001820
9898,Review of African Political Economy,"1,087",0.988,0.001600
9906,INTERNATIONAL JOURNAL OF CAST METALS RESEARCH,843,0.987,0.000520
9906,INTERNATIONAL JOURNAL OF ROBOTICS & AUTOMATION,524,0.987,0.000290
9906,Journal of Mechanics of Materials and Structures,904,0.987,0.000790
9909,DYNAMICAL SYSTEMS-AN INTERNATIONAL JOURNAL,425,0.986,0.000790
9909,Ophthalmic Surgery Lasers & Imaging Retina,"2,590",0.986,0.003450
9909,Translational Cancer Research,"1,141",0.986,0.002370
9912,AUSTRALIAN SYSTEMATIC BOTANY,751,0.985,0.000700
9912,CANADIAN JOURNAL OF CIVIL ENGINEERING,"3,383",0.985,0.001800
9912,Open Geosciences,290,0.985,0.000620
9912,PEDIATRIC NEUROSURGERY,"2,041",0.985,0.000750
9912,Protection of Metals and Physical Chemistry of Surfaces,"1,026",0.985,0.000990
9917,Global NEST Journal,967,0.983,0.000790
9917,Topics in Companion Animal Medicine,369,0.983,0.000420
9919,ANNALS OF AGRICULTURAL AND ENVIRONMENTAL MEDICINE,"1,990",0.982,0.002360
9919,Hellenic Journal of Nuclear Medicine,475,0.982,0.000680
9919,SOCIAL WORK IN HEALTH CARE,"1,085",0.982,0.001120
9919,Soil and Water Research,387,0.982,0.000360
9923,ENVIRONMENTAL AND ECOLOGICAL STATISTICS,805,0.981,0.000940
9923,NEUES JAHRBUCH FUR GEOLOGIE UND PALAONTOLOGIE-ABHANDLUNGEN,"1,255",0.981,0.001240
9923,TURKISH JOURNAL OF CHEMISTRY,"1,577",0.981,0.000930
9923,disP,231,0.981,0.000300
9927,AStA-Advances in Statistical Analysis,329,0.980,0.000870
9927,Bioinspired Biomimetic and Nanobiomaterials,151,0.980,0.000190
9927,IEEE TRANSACTIONS ON PROFESSIONAL COMMUNICATION,600,0.980,0.000440
9927,Interaction Studies,430,0.980,0.000460
9927,JOURNAL OF PROFESSIONAL ISSUES IN ENGINEERING EDUCATION AND PRACTICE,744,0.980,0.000410
9927,Mind Culture and Activity,766,0.980,0.000460
9927,NEW ZEALAND JOURNAL OF ZOOLOGY,928,0.980,0.000440
9927,NUCLEAR TECHNOLOGY,"2,470",0.980,0.002450
9935,ONDERSTEPOORT JOURNAL OF VETERINARY RESEARCH,"1,071",0.979,0.000510
9936,Iranian Journal of Veterinary Research,536,0.978,0.000660
9936,JOURNAL OF NONLINEAR MATHEMATICAL PHYSICS,745,0.978,0.001040
9936,Journal of Latina-o Psychology,260,0.978,0.000930
9936,Medicina del Lavoro,559,0.978,0.000400
9936,REVISTA DE LA FACULTAD DE CIENCIAS AGRARIAS,235,0.978,0.000130
9941,Disaster Medicine and Public Health Preparedness,"1,169",0.977,0.002330
9941,Disaster Medicine and Public Health Preparedness,"1,169",0.977,0.002330
9941,International Journal of Health  Economics and Management,81,0.977,0.000510
9941,KNOWLEDGE ORGANIZATION,395,0.977,0.000190
9941,Recent Patents on Nanotechnology,386,0.977,0.000290
9946,ADVANCES IN COMPLEX SYSTEMS,622,0.976,0.000380
9946,MACROECONOMIC DYNAMICS,"1,174",0.976,0.002710
9946,MATHEMATICS OF CONTROL SIGNALS AND SYSTEMS,"1,016",0.976,0.001070
9946,PETROLEUM SCIENCE AND TECHNOLOGY,"3,155",0.976,0.002570
9946,POLYMER SCIENCE SERIES B,806,0.976,0.000700
9951,Australian Journal of Primary Health,920,0.975,0.001550
9951,Australian Journal of Primary Health,920,0.975,0.001550
9951,CLINICAL LINGUISTICS & PHONETICS,"1,405",0.975,0.001180
9951,CLINICAL LINGUISTICS & PHONETICS,"1,405",0.975,0.001180
9951,Infancia y Aprendizaje,471,0.975,0.000290
9951,Iranian Journal of Science and Technology-Transactions of Civil Engineering,263,0.975,0.000300
9951,Micro & Nano Letters,"1,763",0.975,0.002300
9951,REVISTA LATINOAMERICANA DE PSICOLOGIA,511,0.975,0.000290
9959,ACTA APPLICANDAE MATHEMATICAE,"1,530",0.974,0.002030
9959,Acta Cirurgica Brasileira,"1,324",0.974,0.001520
9959,Beton- und Stahlbetonbau,746,0.974,0.001390
9959,Emerging Adulthood,621,0.974,0.001640
9959,European Journal of Integrative Medicine,858,0.974,0.001300
9959,Investment Analysts Journal,204,0.974,0.000160
9959,JOURNAL OF GENERAL PLANT PATHOLOGY,"1,050",0.974,0.000980
9959,YONAGO ACTA MEDICA,286,0.974,0.000550
9967,APPLIED ENGINEERING IN AGRICULTURE,"2,159",0.973,0.001100
9967,Iranian Journal of Biotechnology,386,0.973,0.000330
9967,RUSSIAN JOURNAL OF COORDINATION CHEMISTRY,"1,315",0.973,0.000650
9970,ENGINEERING ECONOMIST,446,0.972,0.000220
9970,ENGINEERING ECONOMIST,446,0.972,0.000220
9970,FLORIDA ENTOMOLOGIST,"3,285",0.972,0.002950
9970,INFOR,506,0.972,0.000230
9970,JOURNAL OF DEVELOPMENTAL AND PHYSICAL DISABILITIES,960,0.972,0.001120
9970,LARYNGO-RHINO-OTOLOGIE,838,0.972,0.000560
9970,SCHMERZ,748,0.972,0.000840
9970,Spanish Journal of Psychology,"1,444",0.972,0.001720
9970,Spanish Journal of Psychology,"1,444",0.972,0.001720
9979,JOURNAL OF HERPETOLOGY,"3,349",0.971,0.001590
9980,Health Care for Women International,"1,528",0.970,0.001840
9980,Journal of Mathematical Fluid Mechanics,853,0.970,0.002930
9980,RICERCHE DI MATEMATICA,457,0.970,0.000830
9980,TEACHERS COLLEGE RECORD,"4,353",0.970,0.003920
9980,TOPICS IN LANGUAGE DISORDERS,666,0.970,0.000560
9985,Banach Journal of Mathematical Analysis,394,0.969,0.001830
9985,COMPOST SCIENCE & UTILIZATION,766,0.969,0.000310
9985,Noise & Health,"1,230",0.969,0.001370
9985,Social Justice Research,"1,119",0.969,0.001050
9989,Acta Crystallographica Section F-Structural Biology Communications,"1,913",0.968,0.003740
9989,Acta of Bioengineering and Biomechanics,700,0.968,0.000850
9989,Early Child Development and Care,"1,976",0.968,0.002110
9989,Holistic Nursing Practice,705,0.968,0.000540
9989,Holistic Nursing Practice,705,0.968,0.000540
9989,POLYMER SCIENCE SERIES A,"1,801",0.968,0.000930
9989,Processing and Application of Ceramics,439,0.968,0.000410
9989,STATISTICA SINICA,"3,197",0.968,0.008250
9997,International Journal of Applied Mathematics and Computer Science,"1,075",0.967,0.000770
9997,JOURNAL OF ORGANIZATIONAL CHANGE MANAGEMENT,"1,818",0.967,0.000710
9997,JOURNAL OF REAL ESTATE FINANCE AND ECONOMICS,"1,861",0.967,0.001290
9997,Language Variation and Change,674,0.967,0.000530
9997,NETHERLANDS JOURNAL OF MEDICINE,"1,456",0.967,0.001270
10002,ARCHIV FUR MOLLUSKENKUNDE,266,0.966,0.000230
10002,Canadian Journal of Occupational Therapy-Revue Canadienne d Ergotherapie,"1,252",0.966,0.000640
10002,Canadian Journal of Occupational Therapy-Revue Canadienne d Ergotherapie,"1,252",0.966,0.000640
10002,Clinical and Investigative Medicine,"1,102",0.966,0.000820
10002,ENGINEERING JOURNAL-AMERICAN INSTITUTE OF STEEL CONSTRUCTION,460,0.966,0.000260
10002,Lithuanian Journal of Physics,233,0.966,0.000330
10008,Journal of Public Child Welfare,339,0.965,0.000440
10008,PROCEEDINGS OF THE INSTITUTION OF CIVIL ENGINEERS-STRUCTURES AND BUILDINGS,"1,021",0.965,0.001030
10008,PROCEEDINGS OF THE INSTITUTION OF CIVIL ENGINEERS-WATER MANAGEMENT,644,0.965,0.000390
10011,Children & Society,"1,239",0.964,0.001100
10011,Medizinische Genetik,76,0.964,0.000220
10013,American Law and Economics Review,370,0.963,0.000900
10013,Journal for Healthcare Quality,589,0.963,0.001080
10013,Journal for Healthcare Quality,589,0.963,0.001080
10013,Open Physics,461,0.963,0.000850
10013,Scientific Programming,521,0.963,0.000760
10013,Turkish Neurosurgery,"1,360",0.963,0.001960
10019,JOURNAL OF ENGLISH LINGUISTICS,301,0.962,0.000420
10020,Advances in Condensed Matter Physics,669,0.961,0.001090
10020,Du Bois Review-Social Science Research on Race,667,0.961,0.001170
10020,Hand Surgery & Rehabilitation,210,0.961,0.000650
10020,Journal of Renal Care,399,0.961,0.000610
10020,Journal of Renal Care,399,0.961,0.000610
10020,Rhetoric Society Quarterly,290,0.961,0.000140
10026,British Journal of Occupational Therapy,"1,487",0.960,0.001220
10026,British Journal of Occupational Therapy,"1,487",0.960,0.001220
10026,CHEMICAL AND BIOCHEMICAL ENGINEERING QUARTERLY,"1,024",0.960,0.000890
10026,Cognitive Processing,"1,151",0.960,0.001560
10026,Revista Portuguesa de Cardiologia,819,0.960,0.000910
10026,WORLD ECONOMY,"2,742",0.960,0.003000
10032,ACTA ACUSTICA UNITED WITH ACUSTICA,"2,583",0.959,0.002110
10032,ANNALI DI MATEMATICA PURA ED APPLICATA,"2,050",0.959,0.005400
10032,JOURNAL OF APPLIED COMMUNICATION RESEARCH,"1,031",0.959,0.000580
10032,PERSPECTIVES IN BIOLOGY AND MEDICINE,"1,017",0.959,0.000750
10036,International Journal of Exergy,719,0.958,0.000580
10036,JOURNAL OF LAW & ECONOMICS,"4,628",0.958,0.003560
10036,Laboratory Phonology,222,0.958,0.000590
10036,PSYCHOANALYTIC PSYCHOLOGY,742,0.958,0.000960
10040,AMERICAN JOURNAL OF DENTISTRY,"1,760",0.957,0.001020
10040,Asia & the Pacific Policy Studies,287,0.957,0.001220
10040,Geografie,250,0.957,0.000270
10040,Journal of Disability Policy Studies,576,0.957,0.000660
10040,MICROWAVE AND OPTICAL TECHNOLOGY LETTERS,"6,202",0.957,0.006240
10040,Mathematical Modelling and Analysis,421,0.957,0.000770
10040,NEW ZEALAND JOURNAL OF CROP AND HORTICULTURAL SCIENCE,890,0.957,0.000290
10047,ANNALES ZOOLOGICI FENNICI,"1,600",0.956,0.000770
10047,JOURNAL OF SCHOLARLY PUBLISHING,180,0.956,0.000180
10047,NEW ZEALAND JOURNAL OF AGRICULTURAL RESEARCH,"1,436",0.956,0.000510
10050,STUDIA MATHEMATICA,"2,896",0.955,0.003290
10050,ZOOTAXA,"20,506",0.955,0.025910
10052,Aerospace Medicine and Human Performance,565,0.954,0.002110
10052,Applied Geophysics,756,0.954,0.001030
10052,Veterinary Medicine and Science,158,0.954,0.000460
10055,Evolution Equations and Control Theory,224,0.953,0.001310
10055,INTERNATIONAL JOURNAL OF MANPOWER,"1,610",0.953,0.001030
10055,JOURNAL OF APPLIED BOTANY AND FOOD QUALITY,630,0.953,0.000620
10055,JOURNAL OF CRANIOFACIAL SURGERY,"8,912",0.953,0.011410
10055,Journal of Human Rights,471,0.953,0.000880
10055,Revista Espanola de Investigaciones Sociologicas,537,0.953,0.000400
10061,ADVANCES IN APPLIED MATHEMATICS,"1,390",0.952,0.003500
10061,BIRD STUDY,"1,625",0.952,0.001270
10061,CytoJournal,305,0.952,0.000420
10061,Future Virology,748,0.952,0.001130
10061,JOURNAL OF LAW ECONOMICS & ORGANIZATION,"2,186",0.952,0.001680
10061,JOURNAL OF MACROECONOMICS,"1,508",0.952,0.002100
10061,JOURNAL OF THE AMERICAN SOCIETY FOR HORTICULTURAL SCIENCE,"5,319",0.952,0.001120
10061,Journal of Poverty and Social Justice,192,0.952,0.000600
10061,Transactions of the Indian Ceramic Society,361,0.952,0.000200
10070,COMMUNIST AND POST-COMMUNIST STUDIES,637,0.951,0.000850
10070,SOCIAL SCIENCE INFORMATION SUR LES SCIENCES SOCIALES,"1,294",0.951,0.000410
10072,Asia Pacific Business Review,638,0.949,0.000510
10072,JOURNAL D ANALYSE MATHEMATIQUE,"1,623",0.949,0.003060
10074,China Foundry,452,0.947,0.000480
10074,Translation Studies,542,0.947,0.000320
10076,JOURNAL OF ARACHNOLOGY,"1,435",0.946,0.001030
10077,Dyna,245,0.945,0.000250
10077,International Journal on Software Tools for Technology Transfer,438,0.945,0.000780
10077,MICROBIOLOGY,"1,945",0.945,0.001300
10077,Mathematical Sciences,355,0.945,0.000350
10077,Revista Romana de Medicina de Laborator,212,0.945,0.000170
10082,AUSTRALIAN JOURNAL OF EDUCATION,502,0.944,0.000400
10082,JOURNAL OF ELECTROCARDIOLOGY,"2,518",0.944,0.003270
10082,Journal of Human Capital,348,0.944,0.001010
10085,ECONOMICS OF TRANSITION,803,0.943,0.000510
10085,INTERNATIONAL JOURNAL OF FINANCE & ECONOMICS,623,0.943,0.000410
10085,Periodico di Mineralogia,557,0.943,0.000400
10085,STUDIES ON NEOTROPICAL FAUNA AND ENVIRONMENT,626,0.943,0.000430
10085,Weather,"1,247",0.943,0.001030
10085,ZOO BIOLOGY,"2,087",0.943,0.001030
10091,JOURNAL OF THE AMERICAN MOSQUITO CONTROL ASSOCIATION,"2,253",0.942,0.000820
10091,THEORETICAL MEDICINE AND BIOETHICS,643,0.942,0.000530
10093,CHINESE JOURNAL OF ELECTRONICS,"1,028",0.941,0.001330
10093,ECONOMICS AND PHILOSOPHY,569,0.941,0.000700
10093,FOLIA MORPHOLOGICA,903,0.941,0.001030
10093,Ginekologia Polska,937,0.941,0.001470
10093,OFIOLITI,388,0.941,0.000110
10098,Clinical Laboratory,"2,014",0.940,0.003490
10098,GEOTECTONICS,834,0.940,0.000800
10098,JOURNAL OF TROPICAL PEDIATRICS,"1,855",0.940,0.001960
10098,RUSSIAN JOURNAL OF INORGANIC CHEMISTRY,"3,460",0.940,0.001510
10102,International Journal of Microwave and Wireless Technologies,759,0.939,0.001570
10102,JAPAN AND THE WORLD ECONOMY,459,0.939,0.000380
10102,JOURNAL OF NONLINEAR OPTICAL PHYSICS & MATERIALS,491,0.939,0.000430
10102,Journal of Higher Education Policy and Management,935,0.939,0.000910
10102,SCIENTIST,301,0.939,0.000440
10102,SCIENTIST,301,0.939,0.000440
10102,Sport in Society,"1,362",0.939,0.001300
10102,WOMENS STUDIES INTERNATIONAL FORUM,"1,880",0.939,0.002020
10110,ACTA METALLURGICA SINICA,"2,237",0.938,0.001450
10110,AFRICA,"1,162",0.938,0.001030
10110,HEALTH EDUCATION JOURNAL,902,0.938,0.001240
10110,INQUIRY-AN INTERDISCIPLINARY JOURNAL OF PHILOSOPHY,904,0.938,0.000620
10110,INTERNATIONAL JOURNAL OF ELECTRICAL ENGINEERING EDUCATION,212,0.938,0.000110
10110,JOURNAL OF MODERN AFRICAN STUDIES,"1,256",0.938,0.000900
10110,LATERALITY,901,0.938,0.000780
10110,MOLLUSCAN RESEARCH,317,0.938,0.000360
10118,ALTERNATIVE THERAPIES IN HEALTH AND MEDICINE,"1,081",0.937,0.000560
10119,CHINESE JOURNAL OF ANALYTICAL CHEMISTRY,"2,113",0.936,0.001650
10119,JOURNAL OF PERINATAL & NEONATAL NURSING,735,0.936,0.000720
10119,JOURNAL OF PERINATAL & NEONATAL NURSING,735,0.936,0.000720
10122,Botanical Sciences,351,0.935,0.000720
10122,China Review-An Interdisciplinary Journal on Greater China,269,0.935,0.000410
10122,Current Computer-Aided Drug Design,549,0.935,0.000270
10122,International Journal of Conflict and Violence,283,0.935,0.000170
10126,KINETICS AND CATALYSIS,"1,823",0.934,0.000880
10127,Econometric Reviews,"1,469",0.933,0.002620
10127,Econometric Reviews,"1,469",0.933,0.002620
10127,JOURNAL OF SHELLFISH RESEARCH,"2,648",0.933,0.001580
10127,MONATSHEFTE FUR MATHEMATIK,"1,487",0.933,0.004800
10127,Psicologia Educativa,238,0.933,0.000410
10132,CANADIAN HISTORICAL REVIEW,450,0.932,0.000210
10132,CZECH JOURNAL OF FOOD SCIENCES,"1,557",0.932,0.001010
10132,DISCRETE EVENT DYNAMIC SYSTEMS-THEORY AND APPLICATIONS,375,0.932,0.001020
10132,JOURNAL OF EARLY INTERVENTION,767,0.932,0.000600
10136,INTERNATIONAL JOURNAL OF CLINICAL PHARMACOLOGY AND THERAPEUTICS,"1,908",0.931,0.001680
10136,JOURNAL OF WORLD TRADE,412,0.931,0.000560
10136,LOGIC JOURNAL OF THE IGPL,440,0.931,0.001050
10136,PHYSICS OF THE SOLID STATE,"6,003",0.931,0.003840
10136,Rehabilitation Nursing,783,0.931,0.000980
10136,Rehabilitation Nursing,783,0.931,0.000980
10142,Brazilian Journal of Botany,"1,502",0.930,0.001210
10142,JOURNAL OF THEORETICAL POLITICS,757,0.930,0.001380
10142,Journal of Behavioral Finance,479,0.930,0.000370
10142,Journal of Integral Equations and Applications,364,0.930,0.000630
10142,Research in Gerontological Nursing,370,0.930,0.000560
10142,Research in Gerontological Nursing,370,0.930,0.000560
10148,ADAPTIVE BEHAVIOR,607,0.929,0.000610
10148,ADAPTIVE BEHAVIOR,607,0.929,0.000610
10148,Journal of Child Sexual Abuse,"1,078",0.929,0.001440
10148,LAW AND SOCIAL INQUIRY-JOURNAL OF THE AMERICAN BAR FOUNDATION,"1,062",0.929,0.001380
10148,POTATO RESEARCH,979,0.929,0.000460
10148,REVISTA MEXICANA DE CIENCIAS GEOLOGICAS,774,0.929,0.000510
10154,ANNALS OF CLINICAL AND LABORATORY SCIENCE,"1,690",0.927,0.001460
10154,Computer Science and Information Systems,406,0.927,0.000370
10154,Membrane and Water Treatment,241,0.927,0.000260
10154,PROCEEDINGS OF THE AMERICAN MATHEMATICAL SOCIETY,"13,219",0.927,0.023450
10158,JOURNAL OF VISUALIZATION,667,0.926,0.001040
10158,Journal of Inverse and Ill-Posed Problems,694,0.926,0.001480
10158,Journal of Systems Science & Complexity,981,0.926,0.001370
10161,AMERICAN JOURNAL OF LAW & MEDICINE,295,0.925,0.000550
10161,ANALOG INTEGRATED CIRCUITS AND SIGNAL PROCESSING,"1,746",0.925,0.001670
10161,Contemporary Nurse,"1,347",0.925,0.001140
10161,Contemporary Nurse,"1,347",0.925,0.001140
10161,European Journal of Futures Research,162,0.925,0.000280
10161,HORTICULTURAL SCIENCE,461,0.925,0.000290
10161,History of the Family,359,0.925,0.000690
10161,INTERNATIONAL TAX AND PUBLIC FINANCE,"1,024",0.925,0.001680
10161,Sleep and Biological Rhythms,665,0.925,0.000810
10170,BIOCHEMISTRY AND MOLECULAR BIOLOGY EDUCATION,916,0.924,0.000720
10170,JOURNAL OF GEOMETRIC ANALYSIS,"1,406",0.924,0.008750
10170,SCANDINAVIAN JOURNAL OF STATISTICS,"3,513",0.924,0.004300
10173,Current Pharmaceutical Analysis,484,0.923,0.000400
10173,JOURNAL OF GENETIC PSYCHOLOGY,"1,180",0.923,0.000620
10173,JOURNAL OF GENETIC PSYCHOLOGY,"1,180",0.923,0.000620
10173,SPORTVERLETZUNG-SPORTSCHADEN,235,0.923,0.000220
10177,BIOTA NEOTROPICA,"1,564",0.922,0.000950
10177,British Journal of Learning Disabilities,687,0.922,0.000590
10177,JOURNAL OF GRAPH THEORY,"2,182",0.922,0.005280
10177,SOUTHERN ECONOMIC JOURNAL,"1,968",0.922,0.002420
10181,CRIME LAW AND SOCIAL CHANGE,"1,010",0.921,0.001250
10181,Dermatologica Sinica,283,0.921,0.000490
10181,FOOD BIOTECHNOLOGY,531,0.921,0.000280
10181,INTEGRAL EQUATIONS AND OPERATOR THEORY,"1,457",0.921,0.003320
10181,Journal of Forensic Psychology Practice,237,0.921,0.000350
10181,PROCEEDINGS OF THE NATIONAL ACADEMY OF SCIENCES INDIA SECTION A-PHYSICAL SCIENCES,399,0.921,0.000610
10187,Algebra & Number Theory,675,0.920,0.006760
10187,Indian Journal of Orthopaedics,"1,267",0.920,0.001540
10187,JNP-Journal for Nurse Practitioners,715,0.920,0.001360
10187,JNP-Journal for Nurse Practitioners,715,0.920,0.001360
10187,Oral Health & Preventive Dentistry,822,0.920,0.000820
10187,Therapeutic Innovation & Regulatory Science,481,0.920,0.001790
10193,ACTA MATHEMATICA SCIENTIA,"1,353",0.919,0.002560
10193,JOURNAL OF TRANSPORT ECONOMICS AND POLICY,"1,149",0.919,0.000720
10193,POWDER DIFFRACTION,"1,513",0.919,0.001000
10196,ARMED FORCES & SOCIETY,719,0.918,0.000660
10196,FLUID DYNAMICS RESEARCH,"1,531",0.918,0.001480
10196,JOURNAL OF STATISTICAL COMPUTATION AND SIMULATION,"2,738",0.918,0.006000
10196,LIMNETICA,720,0.918,0.000520
